,budget,revenue,runtime,original_language,vote_average,vote_count,main_production_company,main_spoken_language,main_genre,release_month,release_year
241,250000,154323,88,en,4.7,26,Silent Night Releasing Corporation,English,Comedy,4,1987
242,50000000,55969000,100,en,4.7,814,Scott Rudin Productions,English,Comedy,2,2016
243,10000000,22424195,98,en,4.7,15,Orion Pictures,English,Crime,4,1990
244,10000000,66821036,100,en,4.7,516,Rogue Pictures,English,Science Fiction,11,2010
245,16000000,14822346,86,en,4.7,109,Metro-Goldwyn-Mayer (MGM),Español,Romance,5,2004
246,15000000,40105542,99,en,4.7,302,Dune Entertainment,Español,Comedy,9,2009
247,20000000,16863583,93,en,4.8,277,Summit Entertainment,English,Action,4,2012
248,85000000,131426169,102,en,4.8,463,Columbia Pictures Corporation,English,Comedy,6,2005
249,4500000,123820,95,en,4.8,83,10th Hole Productions,English,Comedy,9,2010
250,16000000,76514050,87,en,4.8,373,Rogue Pictures,English,Horror,1,2009
251,30000000,31070211,87,en,4.8,468,Screen Gems,English,Science Fiction,3,2006
252,40000000,58662452,89,en,4.8,272,Walt Disney Pictures,English,Adventure,7,1992
253,12000000,15826984,107,en,4.8,202,Columbia Pictures Corporation,English,Adventure,7,1994
254,34000000,19693891,108,en,4.8,63,Tollin/Robbins Productions,English,Drama,8,2001
255,15000000,10443316,93,en,4.8,32,Warner Bros.,English,Drama,11,1998
256,10000000,40055439,95,en,4.8,478,Lava Bear Films,English,Horror,1,2016
257,30000000,251495,117,en,4.8,77,Morgan Creek Productions,English,Horror,5,2005
258,5000000,14000000,100,en,4.8,194,Paramount Pictures,English,Horror,7,1989
259,88000,480000,65,en,4.8,30,Woolner Brothers Pictures Inc.,English,Horror,5,1958
260,60000000,37141130,105,en,4.8,233,Imagine Entertainment,English,Horror,12,1998
261,25000000,83080890,102,en,4.8,1075,Paramount Pictures,English,Horror,2,2017
262,63600000,19412993,102,en,4.8,147,Franchise Pictures,English,Action,10,2000
263,28000000,14010832,98,en,4.8,299,Screen Gems,English,Action,8,2001
264,3000000,15369573,100,en,4.8,27,Touchstone Pictures,English,Comedy,4,1990
265,12000000,31179516,97,en,4.8,31,Fox Searchlight Pictures,English,Comedy,4,2004
266,30000000,13521829,86,en,4.8,135,HW Two,English,Comedy,4,2011
267,2000000,2506446,96,en,4.8,26,Miramax Films,English,Comedy,8,2002
268,2500000,15014674,110,en,4.8,23,Lucasfilm,English,Comedy,8,1979
269,2000000,2260622,85,en,4.8,51,Planet Productions,English,Comedy,4,1994
270,7000000,6230276,94,en,4.8,48,Metro-Goldwyn-Mayer (MGM),English,Comedy,8,2008
271,10000000,1068682,92,en,4.8,165,Plum Pictures,English,Mystery,9,2010
272,13000000,98441954,105,en,4.8,156,Insurge Pictures,English,Documentary,2,2011
273,3000000,9563393,89,en,4.8,22,Touchstone Pictures,Français,Comedy,2,1991
274,26000000,38793283,94,en,4.9,89,Paramount Pictures,Český,Adventure,3,2002
275,26000000,38793283,94,en,4.9,90,Paramount Pictures,Český,Adventure,3,2002
276,135000000,76932943,121,en,4.9,341,Laura Ziskin Productions,English,Action,7,2005
277,17000000,7314027,107,en,4.9,97,Universal Pictures,English,Comedy,3,2006
278,7000000,20256975,96,en,4.9,51,Silver Pictures,English,Action,2,1988
279,30000000,14110589,102,en,4.9,135,Paramount Pictures,English,Animation,7,1992
280,28000000,10126458,91,en,4.9,134,Incentive Filmed Entertainment,English,Horror,9,2011
281,20000000,70992898,97,en,4.9,200,Screen Gems,English,Adventure,8,2004
282,35000000,12506188,83,en,4.9,140,Columbia Pictures,English,Family,8,2006
283,20000000,149281606,91,en,4.9,217,Walt Disney Pictures,English,Adventure,10,2008
284,40000000,41797066,94,en,4.9,758,Twentieth Century Fox Film Corporation,English,Fantasy,12,2007
285,40000000,116300000,108,en,4.9,144,Paramount Pictures,English,Drama,5,1993
286,4000000,16675000,86,en,4.9,111,Miramax Films,English,Horror,3,1996
287,10,10000000,99,en,4.9,120,Lions Gate,English,Horror,9,2013
288,100000,42664410,87,en,4.9,370,New Line Cinema,English,Horror,7,2015
289,165000000,389681935,120,en,4.9,2550,Twentieth Century Fox Film Corporation,English,Action,6,2016
290,11000000,3639345,94,en,4.9,229,Grindstone Entertainment Group,English,Action,9,2013
291,1500000,5585154,94,en,4.9,20,TriStar Pictures,English,Action,2,1990
292,35000000,25871834,85,en,4.9,394,Dimension Films,English,Action,3,2008
293,500000,10166459,86,en,4.9,154,Cannon Group,English,Action,4,1989
294,1,100,95,en,4.9,26,Alcon Entertainment,English,Comedy,4,1999
295,11000000,23430766,95,en,4.9,75,Columbia Pictures,English,Comedy,3,2001
296,70000000,176104344,87,en,4.9,422,Twentieth Century Fox Film Corporation,English,Comedy,6,2001
297,6000000,28202109,95,en,4.9,47,Touchstone Pictures,English,Comedy,11,1988
298,120000000,48668907,121,en,4.9,229,Columbia Pictures,English,Comedy,12,2010
299,13200000,15171476,115,en,4.9,185,Paramount Pictures,English,Comedy,6,1982
300,112000000,237382724,85,en,4.9,633,Twentieth Century Fox Film Corporation,English,Comedy,12,2010
301,28000000,21435321,111,en,4.9,33,Twentieth Century Fox Film Corporation,English,Comedy,6,1984
302,30000000,54819301,92,en,4.9,143,Wessler Entertainment,English,Comedy,4,2012
303,20000000,22165608,92,en,5.0,165,Twentieth Century Fox Film Corporation,العربية,Action,10,2006
304,5000000,2970,97,en,5.0,15,Trimark Pictures,Deutsch,Science Fiction,11,1993
305,15000000,5600000,87,en,5.0,63,Universal Pictures,English,Horror,8,1996
306,4500000,10500000,103,en,5.0,22,Columbia Pictures Corporation,English,Action,4,1982
307,60000000,93375151,87,en,5.0,363,Village Roadshow Pictures,English,Comedy,7,2001
308,50000000,152022101,109,en,5.0,214,Paramount Pictures,English,Action,6,1995
309,30000000,15368897,96,en,5.0,71,Epsilon Motion Pictures,English,Comedy,6,2003
310,78000000,179179718,103,en,5.0,1551,Twentieth Century Fox Film Corporation,English,Fantasy,2,2003
311,38000000,29907685,90,en,5.0,154,Dimension Films,English,Horror,8,2006
312,35000000,95437994,93,en,5.0,924,Ghost House Pictures,English,Horror,5,2015
313,2410000,10755447,100,en,5.0,65,Golan-Globus Productions,English,Action,3,1985
314,2400000,88273,90,en,5.0,235,Abbolita Productions,English,Romance,8,2014
315,24000000,30551495,89,en,5.0,142,The Weinstein Company,English,Romance,9,2011
316,18000000,16702864,92,en,5.0,78,Fox 2000 Pictures,English,Family,2,2004
317,50000000,83761844,87,en,5.0,150,Twentieth Century Fox Film Corporation,English,Family,6,2010
318,15000000,118243066,89,en,5.0,175,Universal Pictures,English,Family,12,1993
319,80000000,136159423,130,en,5.0,395,New Line Cinema,English,Adventure,4,1998
320,12000000,15942628,108,en,5.0,53,Lorimar Film Entertainment,English,Adventure,10,1989
321,46000000,341631208,91,en,5.0,559,Universal Pictures,English,Fantasy,5,1994
322,25000000,12000000,87,en,5.0,23,Rankin/Bass Productions,English,Animation,3,1999
323,379000,4358000,100,en,5.0,20,Metro-Goldwyn-Mayer (MGM),English,Drama,2,1929
324,15000000,4627375,97,en,5.0,61,Atlas Productions,English,Drama,4,2011
325,15000000,12201255,103,en,5.0,24,TriStar Pictures,English,Drama,3,1995
326,8500000,34411240,84,en,5.0,71,Twentieth Century Fox Film Corporation,English,Drama,9,2002
327,5000000,15116634,88,en,5.0,173,Miramax Films,English,Horror,9,1995
328,10000000,78096553,88,en,5.0,435,Paramount Pictures,English,Horror,10,2015
329,2500000,14400000,98,en,5.0,232,Universal Pictures,English,Horror,10,1982
330,8000000,17092453,100,en,5.0,107,Paramount Pictures,English,Horror,8,1992
331,40000000,87840042,96,en,5.0,344,New Line Cinema,English,Action,7,1997
332,40000000,10959475,93,en,5.0,28,Paramount Pictures,English,Action,11,2002
333,75000000,51142659,116,en,5.0,172,Columbia Pictures,English,Action,6,2003
